popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,id_new,time_signature
66.0,0.804,0.745,4.0,-5.805,0.0,0.0744,0.112,0.0,0.0924,0.512,95.024,188733.0,17,
58.0,0.677,0.946,6.0,-2.887,1.0,0.0553,0.185,3.56e-06,0.274,0.948,96.011,240973.0,18,
63.0,0.775,0.744,7.0,-5.912,1.0,0.0916,0.0567,0.0,0.392,0.581,92.98,196360.0,19,
67.0,0.815,0.856,1.0,-3.825,0.0,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667.0,20,
61.0,0.852,0.66,2.0,-6.177,1.0,0.224,0.277,0.0,0.207,0.517,94.006,224707.0,21,
63.0,0.798,0.814,7.0,-6.153,1.0,0.0542,0.101,5.41e-06,0.181,0.524,95.007,227467.0,22,
65.0,0.815,0.768,6.0,-6.276,0.0,0.171,0.217,1.69e-06,0.0632,0.667,93.971,196573.0,23,
75.0,0.857,0.801,0.0,-6.499,1.0,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,192600.0,24,
35.0,0.681,0.802,1.0,-4.518,1.0,0.175,0.266,0.0,0.352,0.765,88.029,230080.0,25,
68.0,0.738,0.85,7.0,-5.818,0.0,0.0403,0.0775,0.0,0.162,0.678,94.999,225573.0,26,
63.0,0.503,0.9,5.0,-5.181,0.0,0.308,0.329,0.0,0.179,0.744,86.888,305280.0,27,
61.0,0.784,0.793,10.0,-4.573,0.0,0.123,0.112,0.0,0.134,0.638,95.977,231773.0,28,
63.0,0.847,0.873,8.0,-4.805,0.0,0.0804,0.0558,3.21e-06,0.325,0.966,116.007,255987.0,29,
53.0,0.843,0.797,1.0,-4.962,1.0,0.0894,0.0833,2.16e-06,0.229,0.697,96.948,191078.0,30,
66.0,0.738,0.875,1.0,-3.365,1.0,0.109,0.236,1.39e-05,0.13,0.91,90.036,285333.0,31,
62.0,0.801,0.773,8.0,-6.651,0.0,0.0896,0.563,0.00425,0.103,0.796,94.988,225693.0,32,
56.0,0.629,0.893,1.0,-4.009,0.0,0.275,0.181,0.0,0.115,0.86,94.042,269559.0,33,
27.0,0.753,0.628,0.0,-11.571,1.0,0.071,0.0466,0.0,0.317,0.691,107.253,279187.0,34,
54.0,0.701,0.914,0.0,-4.938,1.0,0.0851,0.0817,0.0,0.0448,0.886,130.078,199213.0,35,
67.0,0.788,0.833,8.0,-9.263,1.0,0.287,0.0134,1.04e-06,0.114,0.356,172.388,295533.0,36,
63.0,0.808,0.697,10.0,-5.899,1.0,0.241,0.041,0.0,0.0546,0.554,95.06,232020.0,37,
63.0,0.924,0.782,10.0,-4.55,0.0,0.0816,0.246,0.0,0.0659,0.745,95.01,204347.0,38,
56.0,0.84,0.837,5.0,-6.299,1.0,0.155,0.322,0.0,0.101,0.728,95.019,182570.0,39,
63.0,0.86,0.699,3.0,-6.415,0.0,0.0974,0.0827,0.00197,0.26,0.871,93.992,303543.0,40,
58.0,0.944,0.874,2.0,-3.814,0.0,0.175,0.316,0.0,0.374,0.836,120.056,183133.0,41,
54.0,0.796,0.866,10.0,-6.087,0.0,0.0595,0.096,0.00025,0.0561,0.877,94.991,246080.0,42,
31.0,0.763,0.597,6.0,-11.229,1.0,0.219,0.00268,0.000341,0.278,0.772,106.542,273573.0,43,
61.0,0.744,0.921,9.0,-4.521,0.0,0.0889,0.172,4.86e-06,0.146,0.718,93.001,157701.0,44,
44.0,0.751,0.881,9.0,-4.329,0.0,0.253,0.0315,1.14e-05,0.0855,0.694,92.972,291960.0,45,
47.0,0.841,0.808,10.0,-5.55,1.0,0.0749,0.0711,3.36e-06,0.0816,0.66,95.0,195680.0,46,
51.0,0.84,0.926,1.0,-0.262,1.0,0.108,0.0762,2.6e-06,0.321,0.567,107.981,212067.0,47,
27.0,0.791,0.692,3.0,-11.966,0.0,0.137,0.149,3.75e-06,0.119,0.716,109.928,1499600.0,48,
56.0,0.883,0.626,1.0,-7.541,1.0,0.0853,0.0648,4.24e-06,0.0594,0.565,107.023,209453.0,49,
66.0,0.709,0.726,7.0,-7.129,1.0,0.0411,0.0977,0.0,0.301,0.404,92.006,182187.0,50,
52.0,0.696,0.722,7.0,-7.352,1.0,0.0472,0.114,0.0,0.26,0.464,92.017,182187.0,51,
56.0,0.793,0.823,7.0,-6.39,1.0,0.0681,0.169,0.00104,0.0986,0.616,91.997,275360.0,52,
40.0,0.795,0.768,1.0,-4.954,0.0,0.0466,0.257,0.0266,0.0932,0.735,95.041,204514.0,53,
56.0,0.846,0.905,6.0,-3.686,0.0,0.0588,0.139,1.01e-05,0.228,0.843,95.018,175533.0,54,
55.0,0.686,0.877,8.0,-5.848,1.0,0.131,0.00221,0.243,0.108,0.877,192.008,210024.0,55,
53.0,0.771,0.85,11.0,-5.985,0.0,0.0558,0.334,1.87e-06,0.122,0.586,94.991,253893.0,56,
57.0,0.809,0.741,7.0,-6.077,1.0,0.219,0.0102,0.00103,0.0354,0.61,184.016,162413.0,57,
61.0,0.808,0.869,7.0,-6.971,1.0,0.0509,0.305,0.0,0.0983,0.848,92.165,205000.0,58,
52.0,0.765,0.768,2.0,-4.959,1.0,0.0742,0.18,0.0,0.0794,0.574,94.243,291658.0,59,
50.0,0.509,0.672,9.0,-5.527,0.0,0.0639,0.281,0.0,0.355,0.81,100.102,238891.0,60,
60.0,0.677,0.812,9.0,-5.755,0.0,0.032,0.284,0.0,0.261,0.354,95.018,246160.0,61,
57.0,0.608,0.73,1.0,-5.724,1.0,0.033,0.0058,0.0,0.313,0.48,84.012,200947.0,62,
50.0,0.794,0.69,6.0,-13.268,1.0,0.149,0.0327,3.62e-05,0.136,0.898,102.335,1428040.0,63,
44.0,0.86,0.887,1.0,-5.177,0.0,0.245,0.182,0.0,0.33,0.8,95.036,171307.0,64,
32.0,0.753,0.804,11.0,-8.449,0.0,0.06,0.00165,0.05,0.068,0.794,94.978,229695.0,65,
57.0,0.796,0.589,1.0,-8.1,1.0,0.0749,0.274,0.0345,0.421,0.764,95.019,254669.0,66,
55.0,0.79,0.551,11.0,-7.674,1.0,0.227,0.221,0.0,0.0682,0.787,179.277,212933.0,67,
47.0,0.761,0.728,9.0,-4.922,0.0,0.0837,0.0269,0.0,0.212,0.852,95.921,212080.0,68,
35.0,0.843,0.678,1.0,-11.934,1.0,0.1,0.0282,5.2e-05,0.302,0.641,106.778,1485533.0,69,
52.0,0.775,0.906,11.0,-6.704,0.0,0.221,0.0628,3.05e-06,0.109,0.425,108.261,157067.0,70,
68.0,0.65,0.884,1.0,-3.557,1.0,0.0326,0.0482,0.154,0.135,0.377,125.998,200952.0,71,4.0
59.0,0.588,0.623,11.0,-8.027,0.0,0.0304,0.000288,0.451,0.184,0.169,135.993,417188.0,72,4.0
61.0,0.577,0.88,6.0,-2.916,1.0,0.0357,0.335,0.896,0.143,0.259,127.951,204375.0,73,4.0
60.0,0.795,0.724,11.0,-6.532,0.0,0.0861,0.404,1.67e-06,0.374,0.445,123.998,219024.0,74,4.0
62.0,0.557,0.703,8.0,-2.062,0.0,0.0277,0.203,0.000156,0.0927,0.228,150.037,233600.0,75,4.0
64.0,0.59,0.647,6.0,-5.06,0.0,0.033,0.00807,4.3e-05,0.0921,0.39,127.979,192307.0,76,4.0
50.0,0.552,0.837,6.0,-5.567,1.0,0.0345,0.0725,0.0874,0.0749,0.317,116.033,259440.0,77,4.0
71.0,0.813,0.777,5.0,-4.355,0.0,0.0828,0.0663,0.0421,0.0785,0.579,125.065,213211.0,78,4.0
69.0,0.766,0.948,0.0,-5.351,0.0,0.0634,0.205,0.144,0.0481,0.676,123.967,157208.0,79,4.0
61.0,0.467,0.975,1.0,-3.213,0.0,0.0502,0.04,0.0541,0.116,0.469,175.952,188182.0,80,4.0
67.0,0.695,0.797,7.0,-5.199,1.0,0.0548,0.00259,0.112,0.664,0.297,124.972,237051.0,81,4.0
60.0,0.562,0.955,5.0,-2.624,0.0,0.0399,0.0772,6.13e-05,0.153,0.316,125.014,159112.0,82,4.0
56.0,0.871,0.893,5.0,-3.774,1.0,0.0403,0.474,0.852,0.0891,0.657,126.016,184762.0,83,4.0
55.0,0.602,0.867,8.0,-5.221,0.0,0.104,0.0299,3.94e-05,0.138,0.496,125.88,201190.0,84,4.0
66.0,0.639,0.973,10.0,-4.644,0.0,0.107,0.00403,0.00336,0.336,0.168,130.046,224769.0,85,4.0
53.0,0.704,0.738,1.0,-4.963,0.0,0.0358,0.0212,0.359,0.0667,0.909,128.007,187500.0,86,4.0
63.0,0.791,0.679,6.0,-6.879,1.0,0.0511,0.0129,0.0921,0.364,0.73,121.993,230720.0,87,4.0
53.0,0.628,0.869,6.0,-6.578,0.0,0.051,0.0312,0.00768,0.137,0.446,131.042,236333.0,88,4.0
50.0,0.756,0.833,2.0,-7.046,1.0,0.0411,0.00381,0.863,0.0619,0.141,124.006,233435.0,89,4.0
54.0,0.791,0.737,5.0,-5.291,0.0,0.0531,0.00541,0.648,0.217,0.392,125.022,131315.0,90,4.0
55.0,0.625,0.819,1.0,-5.673,0.0,0.11,0.0102,0.000135,0.268,0.227,130.014,223500.0,91,4.0
53.0,0.658,0.938,11.0,-4.305,1.0,0.0589,0.00165,0.0379,0.851,0.645,124.956,240773.0,92,4.0
53.0,0.591,0.913,4.0,-3.443,0.0,0.0479,0.0277,0.0,0.24,0.66,126.997,175984.0,93,4.0
56.0,0.792,0.831,11.0,-4.585,1.0,0.0446,0.00144,0.495,0.128,0.0603,126.991,175748.0,94,4.0
78.0,0.738,0.868,11.0,-4.373,0.0,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640.0,95,4.0
54.0,0.811,0.725,11.0,-10.838,0.0,0.214,0.0577,0.00131,0.53,0.839,115.009,192011.0,96,4.0
69.0,0.624,0.923,9.0,-5.449,0.0,0.0335,0.0268,0.000228,0.0509,0.402,124.994,157452.0,97,4.0
53.0,0.58,0.995,11.0,-1.719,0.0,0.0754,0.00192,0.0594,0.247,0.111,128.004,262750.0,98,4.0
58.0,0.677,0.846,8.0,-5.361,1.0,0.0567,0.044,0.0,0.198,0.528,122.025,204587.0,99,4.0
60.0,0.594,0.971,1.0,-3.504,0.0,0.0452,0.0108,0.107,0.11,0.967,124.031,173807.0,100,4.0
53.0,0.797,0.871,8.0,-2.275,1.0,0.0353,0.186,0.0263,0.0775,0.653,127.013,169759.0,101,4.0
51.0,0.7,0.826,11.0,-7.255,0.0,0.0583,0.0219,0.0352,0.0818,0.255,125.996,274286.0,102,4.0
52.0,0.527,0.914,7.0,-3.423,1.0,0.0475,0.0113,0.908,0.0933,0.522,127.957,252025.0,103,4.0
59.0,0.557,0.841,7.0,-2.472,0.0,0.0426,0.106,0.0,0.337,0.188,127.977,241875.0,104,4.0
66.0,0.81,0.9,2.0,-3.912,1.0,0.0466,0.000683,0.794,0.308,0.111,123.001,154146.0,105,4.0
68.0,0.489,0.641,11.0,-7.011,0.0,0.032,0.00598,0.0201,0.122,0.587,108.901,211885.0,106,4.0
52.0,0.711,0.987,1.0,-2.749,1.0,0.125,0.0702,0.00681,0.0699,0.558,126.003,191429.0,107,4.0
70.0,0.815,0.669,6.0,-7.966,0.0,0.0355,0.0242,0.0152,0.311,0.317,121.984,199656.0,108,4.0
85.0,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.454,0.168,133.99,195707.0,109,4.0
53.0,0.634,0.673,11.0,-4.183,0.0,0.0654,0.105,0.0,0.702,0.327,129.998,216667.0,110,4.0
63.0,0.814,0.951,11.0,-1.981,1.0,0.0715,0.0118,0.0,0.628,0.264,104.003,173077.0,111,4.0
62.0,0.596,0.905,8.0,-3.456,0.0,0.0515,0.0743,0.00168,0.128,0.692,144.981,223469.0,112,4.0
58.0,0.621,0.831,6.0,-3.793,0.0,0.038,0.185,0.000925,0.102,0.527,125.946,224133.0,113,4.0
56.0,0.516,0.86,10.0,-3.56,0.0,0.0494,0.0526,0.0,0.0858,0.35,173.874,182007.0,114,4.0
62.0,0.484,0.756,6.0,-4.379,0.0,0.0579,0.00209,0.314,0.3,0.239,139.9,187093.0,115,4.0
54.0,0.833,0.494,11.0,-9.26,1.0,0.0676,0.101,0.0472,0.102,0.145,123.008,249268.0,116,4.0
74.0,0.681,0.774,1.0,-3.167,0.0,0.0787,0.0992,0.0,0.35,0.267,102.924,162425.0,117,4.0
57.0,0.695,0.871,6.0,-5.245,0.0,0.0318,0.0167,0.0,0.113,0.486,127.963,315471.0,118,4.0
52.0,0.619,0.805,5.0,-4.759,1.0,0.0452,0.29,0.0,0.236,0.354,128.039,202353.0,119,4.0
63.0,0.588,0.783,2.0,-3.986,0.0,0.0325,0.00143,0.0183,0.112,0.354,91.971,270589.0,120,4.0
63.0,0.496,0.03,11.0,-17.87,1.0,0.058,0.995,0.958,0.113,0.39,98.079,279184.0,121,4.0
64.0,0.656,0.175,0.0,-28.548,1.0,0.217,0.977,0.899,0.0912,0.452,78.843,152000.0,122,3.0
61.0,0.677,0.0397,8.0,-19.216,1.0,0.114,0.996,0.97,0.107,0.24,120.129,248350.0,123,3.0
61.0,0.441,0.00753,4.0,-28.155,1.0,0.0447,0.992,0.93,0.108,0.279,79.838,182625.0,124,3.0
65.0,0.721,0.0285,1.0,-20.385,1.0,0.0999,0.996,0.96,0.0998,0.261,99.406,227419.0,125,4.0
60.0,0.358,0.0614,5.0,-23.618,0.0,0.059,0.993,0.93,0.105,0.137,168.741,220529.0,126,4.0
56.0,0.606,0.0821,4.0,-23.949,1.0,0.0474,0.991,0.929,0.0874,0.536,112.099,163999.0,127,4.0
67.0,0.257,0.0317,8.0,-23.03,1.0,0.0424,0.989,0.944,0.16,0.268,205.506,192727.0,128,4.0
56.0,0.571,0.0322,11.0,-27.475,1.0,0.0656,0.996,0.973,0.107,0.579,95.346,115193.0,129,4.0
56.0,0.653,0.0116,7.0,-28.217,1.0,0.0583,0.995,0.95,0.0952,0.471,110.539,128000.0,130,3.0
56.0,0.173,0.178,9.0,-17.303,1.0,0.0372,0.972,0.956,0.12,0.0411,118.515,157652.0,131,4.0
62.0,0.542,0.0783,5.0,-25.856,1.0,0.0506,0.996,0.955,0.124,0.269,139.84,242230.0,132,4.0
61.0,0.438,0.0285,5.0,-23.429,1.0,0.0507,0.996,0.953,0.114,0.273,100.084,243643.0,133,4.0
61.0,0.354,0.0284,5.0,-25.716,1.0,0.0438,0.994,0.958,0.129,0.137,139.832,248651.0,134,4.0
56.0,0.565,0.0237,4.0,-24.838,1.0,0.0356,0.994,0.936,0.107,0.0602,96.039,254455.0,135,4.0
62.0,0.356,0.0199,6.0,-26.752,0.0,0.0645,0.994,0.956,0.155,0.326,79.547,174375.0,136,4.0
61.0,0.473,0.0998,4.0,-15.669,1.0,0.0524,0.987,0.936,0.105,0.158,120.875,310147.0,137,4.0
69.0,0.131,0.0666,7.0,-18.711,1.0,0.0365,0.955,0.962,0.105,0.0468,99.442,138167.0,138,4.0
63.0,0.505,0.0409,7.0,-20.356,1.0,0.0472,0.996,0.948,0.104,0.31,172.341,234767.0,139,4.0
62.0,0.407,0.0987,1.0,-22.886,1.0,0.0721,0.99,0.967,0.11,0.197,163.584,146868.0,140,4.0
60.0,0.73,0.064,2.0,-17.62,1.0,0.109,0.996,0.964,0.125,0.326,98.024,224543.0,141,4.0
55.0,0.639,0.0291,1.0,-27.109,1.0,0.0646,0.996,0.97,0.101,0.43,74.673,113571.0,142,4.0
55.0,0.294,0.223,6.0,-14.449,0.0,0.0322,0.989,0.895,0.0825,0.144,84.044,160287.0,143,3.0
60.0,0.481,0.0067,5.0,-28.424,1.0,0.042,0.995,0.964,0.146,0.21,69.032,119795.0,144,4.0
60.0,0.639,0.0169,10.0,-32.727,1.0,0.056,0.995,0.959,0.123,0.732,98.219,142961.0,145,4.0
65.0,0.601,0.0235,9.0,-26.426,1.0,0.0525,0.991,0.967,0.106,0.346,79.929,141750.0,146,4.0
53.0,0.575,0.00989,1.0,-28.81,1.0,0.0523,0.996,0.924,0.0972,0.605,65.941,97658.0,147,4.0
56.0,0.522,0.0153,7.0,-27.176,1.0,0.0511,0.995,0.954,0.115,0.349,125.093,141292.0,148,4.0
55.0,0.536,0.0593,5.0,-13.339,1.0,0.0448,0.993,0.916,0.11,0.247,72.28,190794.0,149,4.0
53.0,0.542,0.022,3.0,-25.259,1.0,0.0426,0.994,0.882,0.138,0.168,110.989,114099.0,150,4.0
53.0,0.428,0.0648,9.0,-19.362,1.0,0.05,0.995,0.945,0.109,0.28,110.059,253086.0,151,4.0
61.0,0.24,0.0571,1.0,-17.398,1.0,0.059,0.987,0.94,0.102,0.229,67.396,230000.0,152,3.0
55.0,0.715,0.0411,7.0,-27.613,1.0,0.0461,0.985,0.785,0.123,0.697,91.204,116000.0,153,3.0
74.0,0.35,0.0256,2.0,-22.589,1.0,0.0334,0.957,0.88,0.106,0.071,77.664,220385.0,154,4.0
61.0,0.508,0.113,6.0,-20.375,0.0,0.0727,0.994,0.944,0.155,0.248,128.048,167250.0,155,4.0
69.0,0.374,0.00905,2.0,-22.653,1.0,0.0552,0.995,0.928,0.109,0.405,76.574,158429.0,156,3.0
55.0,0.565,0.0843,5.0,-24.145,1.0,0.0448,0.994,0.947,0.12,0.44,86.022,183686.0,157,3.0
56.0,0.588,0.026,5.0,-24.717,1.0,0.0506,0.993,0.968,0.135,0.202,77.728,130000.0,158,4.0
60.0,0.514,0.0282,11.0,-20.249,1.0,0.0693,0.995,0.95,0.111,0.244,96.015,230000.0,159,4.0
61.0,0.555,0.0306,0.0,-23.42,1.0,0.0545,0.995,0.958,0.122,0.474,114.703,76779.0,160,4.0
60.0,0.461,0.028,0.0,-25.179,1.0,0.0619,0.994,0.967,0.111,0.406,73.651,168000.0,161,4.0
61.0,0.588,0.0185,7.0,-20.676,1.0,0.0542,0.992,0.917,0.0943,0.5,121.072,112875.0,162,4.0
60.0,0.54,0.0371,4.0,-24.532,0.0,0.049,0.995,0.954,0.0825,0.519,79.332,154000.0,163,4.0
53.0,0.475,0.0516,9.0,-22.723,1.0,0.123,0.989,0.941,0.111,0.259,73.922,88033.0,164,4.0
60.0,0.377,0.027,7.0,-22.285,0.0,0.0368,0.992,0.945,0.125,0.13,131.545,244616.0,165,4.0
52.0,0.448,0.0197,3.0,-29.063,1.0,0.0442,0.995,0.95,0.109,0.148,131.893,278712.0,166,4.0
60.0,0.298,0.0037,4.0,-30.052,1.0,0.0386,0.994,0.932,0.102,0.134,70.806,189713.0,167,4.0
63.0,0.57,0.0743,4.0,-20.507,1.0,0.0539,0.988,0.953,0.108,0.231,83.01,167496.0,168,3.0
68.0,0.505,0.029,6.0,-22.933,1.0,0.041,0.989,0.895,0.0989,0.114,66.014,253567.0,169,4.0
61.0,0.394,0.0281,1.0,-23.71,1.0,0.0666,0.995,0.969,0.108,0.301,200.615,212400.0,170,4.0
63.0,0.53,0.0663,3.0,-22.957,1.0,0.0428,0.993,0.935,0.112,0.12,121.991,230041.0,171,4.0
65.0,0.419,0.00181,3.0,-33.652,1.0,0.0408,0.993,0.927,0.138,0.146,69.862,167091.0,172,4.0
58.0,0.6,0.0185,2.0,-23.973,1.0,0.0599,0.994,0.936,0.111,0.214,79.993,228219.0,173,4.0
58.0,0.392,0.0664,0.0,-16.245,1.0,0.0462,0.995,0.941,0.146,0.152,74.751,238278.0,174,4.0
67.0,0.401,0.00641,5.0,-24.556,0.0,0.0459,0.987,0.904,0.106,0.303,69.241,96833.0,175,3.0
59.0,0.652,0.0796,2.0,-19.505,1.0,0.118,0.992,0.894,0.0951,0.25,63.465,257500.0,176,4.0
53.0,0.546,0.00574,8.0,-26.789,1.0,0.0397,0.991,0.9,0.17,0.386,71.996,135833.0,177,3.0
61.0,0.729,0.0425,1.0,-22.36,1.0,0.068,0.995,0.972,0.103,0.475,100.074,216000.0,178,4.0
52.0,0.512,0.113,0.0,-18.513,0.0,0.055,0.98,0.909,0.0932,0.0569,107.417,144492.0,179,3.0
64.0,0.603,0.0945,5.0,-19.221,1.0,0.0366,0.968,0.927,0.114,0.0727,71.972,234543.0,180,5.0
69.0,0.522,0.00251,9.0,-23.464,1.0,0.112,0.994,0.96,0.0891,0.732,72.002,109545.0,181,4.0
60.0,0.442,0.0293,0.0,-26.293,1.0,0.0495,0.996,0.938,0.0927,0.25,67.256,251189.0,182,3.0
60.0,0.517,0.014,11.0,-23.771,1.0,0.084,0.996,0.962,0.101,0.0462,66.185,224750.0,183,4.0
62.0,0.408,0.0126,6.0,-20.377,0.0,0.0517,0.996,0.961,0.0948,0.132,80.969,204558.0,184,4.0
62.0,0.401,0.0652,9.0,-22.219,1.0,0.0476,0.993,0.917,0.103,0.157,199.585,260576.0,185,4.0
53.0,0.562,0.0206,9.0,-19.857,1.0,0.0426,0.995,0.93,0.108,0.207,72.953,188473.0,186,4.0
54.0,0.283,0.0425,11.0,-20.579,0.0,0.0497,0.994,0.932,0.0985,0.285,197.891,223712.0,187,4.0
69.0,0.749,0.196,6.0,-17.039,1.0,0.0821,0.973,0.911,0.11,0.158,75.495,195175.0,188,4.0
66.0,0.298,0.0366,8.0,-29.701,1.0,0.0465,0.994,0.938,0.109,0.282,72.209,131988.0,189,4.0
60.0,0.634,0.0333,5.0,-20.191,1.0,0.0427,0.992,0.93,0.129,0.144,118.197,251885.0,190,4.0
52.0,0.467,0.0272,7.0,-25.823,1.0,0.0399,0.995,0.939,0.156,0.524,87.116,94315.0,191,4.0
52.0,0.555,0.0404,0.0,-22.714,1.0,0.0594,0.993,0.902,0.1,0.456,118.647,153760.0,192,4.0
59.0,0.344,0.0683,3.0,-14.155,1.0,0.0418,0.991,0.928,0.118,0.252,72.012,238337.0,193,5.0
74.0,0.397,0.0315,7.0,-22.308,0.0,0.0392,0.991,0.926,0.0925,0.18,72.833,158066.0,194,4.0
56.0,0.541,0.0132,5.0,-20.743,1.0,0.0429,0.996,0.95,0.115,0.154,75.065,221210.0,195,4.0
61.0,0.679,0.0159,2.0,-23.479,1.0,0.0382,0.995,0.955,0.0914,0.0947,103.995,282825.0,196,4.0
71.0,0.33,0.005,5.0,-34.638,1.0,0.0499,0.994,0.976,0.109,0.0749,85.067,192353.0,197,4.0
66.0,0.588,0.0891,2.0,-32.152,1.0,0.044,0.99,0.931,0.151,0.271,66.001,139143.0,198,3.0
73.0,0.349,0.0205,5.0,-26.793,1.0,0.0425,0.995,0.93,0.0962,0.0396,68.983,207349.0,199,1.0
60.0,0.472,0.0294,8.0,-23.149,1.0,0.0514,0.996,0.945,0.0915,0.144,72.817,244104.0,200,3.0
54.0,0.298,0.0873,9.0,-19.083,1.0,0.0598,0.994,0.957,0.106,0.407,211.823,180578.0,201,4.0
60.0,0.35,0.0262,0.0,-24.468,1.0,0.0398,0.994,0.895,0.119,0.0556,100.076,231211.0,202,4.0
74.0,0.433,0.187,8.0,-14.389,0.0,0.0343,0.958,0.93,0.121,0.35,138.509,187477.0,203,3.0
51.0,0.529,0.0565,7.0,-22.54,1.0,0.0551,0.987,0.896,0.198,0.261,85.455,192508.0,204,3.0
71.0,0.466,0.00472,5.0,-28.546,1.0,0.0531,0.992,0.938,0.0712,0.233,81.181,145812.0,205,4.0
60.0,0.688,0.0195,4.0,-20.35,1.0,0.0567,0.996,0.957,0.095,0.293,132.225,209361.0,206,3.0
62.0,0.514,0.132,1.0,-26.242,1.0,0.0604,0.994,0.962,0.123,0.12,132.052,137028.0,207,4.0
74.0,0.573,0.0198,3.0,-25.76,0.0,0.0449,0.993,0.941,0.112,0.284,61.978,134000.0,208,3.0
62.0,0.403,0.156,5.0,-18.196,0.0,0.0388,0.983,0.933,0.109,0.265,117.306,216742.0,209,4.0
55.0,0.44,0.0446,2.0,-25.102,1.0,0.0533,0.992,0.951,0.101,0.203,114.101,177895.0,210,4.0
51.0,0.575,0.105,8.0,-19.571,0.0,0.115,0.957,0.871,0.111,0.274,135.732,104348.0,211,4.0
55.0,0.584,0.0448,0.0,-17.892,1.0,0.0407,0.995,0.964,0.104,0.298,107.114,159091.0,212,4.0
59.0,0.464,0.0266,0.0,-20.338,1.0,0.0532,0.987,0.879,0.0836,0.0659,132.973,404160.0,213,3.0
82.0,0.618,0.938,9.0,-3.442,1.0,0.0456,0.0179,0.0,0.167,0.875,91.455,269000.0,214,4.0
81.0,0.432,0.895,11.0,-3.682,1.0,0.0504,0.127,1.16e-05,0.141,0.625,104.458,335067.0,215,4.0
77.0,0.595,0.717,0.0,-4.803,1.0,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907.0,216,4.0
73.0,0.451,0.97,0.0,-4.938,1.0,0.107,0.0264,0.00355,0.102,0.198,122.444,216933.0,217,4.0
79.0,0.458,0.795,0.0,-3.265,1.0,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373.0,218,4.0
76.0,0.7,0.742,5.0,-6.777,0.0,0.0716,0.0722,0.0199,0.11,0.197,91.959,302000.0,219,4.0
83.0,0.592,0.767,9.0,-2.788,0.0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733.0,220,4.0
82.0,0.559,0.345,4.0,-13.496,1.0,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307.0,221,4.0
78.0,0.553,0.865,9.0,-4.751,0.0,0.0409,0.017,1.05e-05,0.267,0.735,96.161,283000.0,222,4.0
68.0,0.725,0.803,2.0,-4.083,1.0,0.0337,0.013,3.66e-05,0.0891,0.403,117.391,231933.0,223,4.0
67.0,0.683,0.734,4.0,-4.523,0.0,0.029,0.00112,0.0139,0.258,0.576,106.254,282400.0,224,4.0
74.0,0.666,0.936,7.0,-9.919,1.0,0.0476,0.00244,0.086,0.153,0.776,91.577,282907.0,225,4.0
67.0,0.695,0.993,0.0,-3.102,1.0,0.0614,0.00194,0.00217,0.0877,0.28,107.933,247667.0,226,4.0
